E,f1,f2
15790.4,4.00065,0.00032888
16045.8,4.00061,0.000316929
16305.3,4.00057,0.000305413
16569.1,4.00053,0.000294207
16837.0,4.00049,0.000283413
17109.4,4.00046,0.000273015
17386.1,4.00042,0.000262998
17667.3,4.00039,0.000253348
17953.1,4.00035,0.000244052
18243.4,4.00032,0.000235098
18538.5,4.00029,0.000226472
18838.4,4.00026,0.000218163
19143.0,4.00023,0.000210159
19452.7,4.0002,0.000202447
19767.3,4.00017,0.000195019
20087.0,4.00014,0.000187864
20411.9,4.00011,0.000180971
20742.1,4.00009,0.000174332
21077.5,4.00006,0.000167935
21418.5,4.00004,0.000161773
21764.9,4.00001,0.000155838
22116.9,3.99999,0.00015012
22474.6,3.99997,0.000144612
22838.1,3.99995,0.000139307
23207.5,3.99992,0.000134195
23582.9,3.9999,0.000129271
23964.3,3.99988,0.000124528
24351.9,3.99986,0.000119959
24745.8,3.99985,0.000115558
25146.1,3.99983,0.000111318
25552.8,3.99981,0.000107234
25966.1,3.99979,0.000103299
26386.0,3.99978,9.95092e-05
26812.8,3.99976,9.58583e-05
27246.5,3.99974,9.23412e-05
27687.2,3.99973,8.89532e-05
28135.0,3.99971,8.56893e-05
28590.1,3.9997,8.25453e-05
29052.5,3.99969,7.95168e-05
29522.4,3.99967,7.65993e-05
29999.9,3.99966,7.37888e-05
30000.0,3.99966,7.37882e-05
